Character   Count
=================
LF          3598
CR          3598
SPACE       28917
!           450
"           113
'           1762
(           56
)           56
*           60
,           2418
-           669
.           978
0           1
3           1
:           233
;           194
?           202
A           638
B           91
C           145
D           192
E           188
F           74
G           83
H           284
I           733
J           8
K           82
L           98
M           200
N           120
O           176
P           65
Q           84
R           140
S           218
T           472
U           66
V           42
W           237
X           4
Y           114
Z           1
[           2
]           2
_           4
`           1109
a           8153
b           1384
c           2254
d           4739
e           13387
f           1927
g           2448
h           7090
i           6781
j           138
k           1076
l           4618
m           1907
n           6896
o           7970
p           1459
q           125
r           5298
s           6282
t           10216
u           3402
v           804
w           2438
x           144
y           2148
z           77
