Word              Count
=======================
a                 631
a-piece           1
abide             1
able              1
about             94
above             3
absence           1
absurd            2
acceptance        1
accident          2
accidentally      1
account           1
accounting        1
accounts          1
accusation        1
accustomed        1
ache              1
across            5
act               1
actually          1
ada               1
added             23
adding            1
addressed         2
addressing        1
adjourn           1
adoption          1
advance           3
advantage         3
adventures        7
advice            2
advisable         2
advise            1
affair            1
affectionately    1
afford            1
afore             1
afraid            12
after             42
after-time        1
afterwards        2
again             83
against           9
age               4
ago               2
agony             1
agree             2
ah                5
ahem              1
air               14
airs              1
alarm             2
alarmed           1
alas              4
alice             386
alice's           12
alive             3
all               182
allow             3
almost            6
alone             4
along             6
aloud             5
already           2
also              2
altered           1
alternately       1
altogether        5
always            13
am                15
ambition          1
among             12
an                57
ancient           1
and               866
and-butter        1
anger             2
angrily           9
angry             5
animal            1
animal's          1
animals           4
ann               4
annoy             1
annoyed           1
another           22
answer            9
answered          4
answers           1
antipathies       1
anxious           3
anxiously         14
any               39
anything          20
anywhere          1
appealed          1
appear            2
appearance        1
appeared          8
appearing         1
applause          1
apples            2
arch              1
archbishop        2
arches            4
are               54
argue             1
argued            1
argument          4
arguments         1
arithmetic        1
arm               12
arm-chair         1
arm-in-arm        1
arms              6
around            3
arranged          1
arrived           1
arrow             1
arrum             1
as                263
ashamed           2
ask               11
askance           1
asked             17
asking            5
asleep            8
assembled         2
at                212
ate               1
atheling          1
atom              2
attempt           1
attempted         1
attempts          1
attended          1
attending         3
attends           1
audibly           1
australia         1
authority         2
avoid             1
away              25
awfully           1
axes              1
axis              1
baby              13
back              38
back-somersault   1
backs             1
bad               2
bag               1
baked             1
balanced          1
balls             1
bank              3
banks             1
banquet           1
bark              2
barking           1
barley-sugar      1
barrowful         2
bat               3
bathing           1
bats              4
bawled            1
be                148
beak              1
bear              2
beast             1
beasts            2
beat              4
beating           2
beau              4
beauti            1
beautiful         13
beautifully       2
beautify          1
became            2
because           15
become            5
becoming          1
bed               1
beds              1
bee               1
been              38
before            38
beg               8
began             58
begged            1
begin             13
beginning         14
begins            4
begun             7
behead            1
beheaded          3
beheading         1
behind            13
being             19
believe           9
believed          1
bells             1
belong            1
belongs           2
beloved           1
below             3
belt              1
bend              2
bent              1
besides           4
best              12
better            14
between           6
bill              13
bill's            4
bird              2
birds             10
birthday          1
bit               16
bite              2
bitter            1
blacking          1
blades            1
blame             1
blasts            2
bleeds            1
blew              2
blow              2
blown             1
blows             1
body              2
boldly            1
bone              1
bones             1
book              7
book-shelves      1
books             1
boon              1
boots             4
bore              1
both              14
bother            1
bottle            10
bottom            4
bough             1
bound             1
bowed             4
bowing            1
box               4
boxed             1
boy               3
brain             1
branch            1
branches          2
brandy            1
brass             1
brave             1
bread             1
bread-and-butter  5
bread-knife       1
break             2
breath            4
breathe           3
breeze            1
bright            7
bright-eyed       1
brightened        2
bring             3
bringing          3
bristling         1
broke             2
broken            6
brother's         1
brought           3
brown             2
brush             1
brushing          1
burn              2
burning           1
burnt             1
burst             1
bursting          1
busily            4
business          7
busy              2
but               170
butter            3
buttercup         1
buttered          1
butterfly         1
buttons           1
by                57
by-the-bye        1
c                 1
cackled           1
cake              3
cakes             3
call              9
called            15
calling           1
calmly            1
came              40
camomile          1
can               35
can't             28
canary            1
candle            3
cannot            1
canterbury        1
canvas            1
capering          1
capital           4
cardboard         1
cards             3
care              4
carefully         3
cares             2
carried           4
carrier           1
carroll           1
carry             1
carrying          2
cart-horse        1
cartwheels        1
case              5
cat               35
cat's             2
catch             4
catching          2
caterpillar       27
caterpillar's     1
cats              13
cattle            1
caucus-race       3
caught            3
cauldron          2
cause             3
caused            2
cautiously        3
ceiling           1
centre            1
certain           3
certainly         14
chains            1
chance            4
chanced           1
change            14
changed           8
changes           2
changing          2
chapter           12
character         1
charges           1
chatte            1
cheap             1
cheated           1
checked           3
cheeks            1
cheered           3
cheerfully        1
cherry-tart       1
cheshire          7
chief             1
child             10
child-life        1
childhood         1
children          10
chimney           6
chimneys          1
chin              7
choice            2
choke             1
choked            3
choking           1
choosing          1
chop              1
chorus            6
chose             2
christmas         1
chrysalis         1
chuckled          1
circle            1
circumstances     1
civil             3
clamour           1
clapping          1
clasped           1
classics          1
claws             2
clean             1
clear             2
cleared           1
clearer           1
clearly           1
clever            2
climb             1
clinging          1
clock             2
close             13
closed            2
closely           1
closer            1
clubs             1
coast             1
coaxing           2
coils             1
cold              1
collar            1
collected         2
come              46
comes             2
comfits           2
comfort           1
comfortable       1
comfortably       1
coming            9
common            1
commotion         1
company           1
complained        1
complaining       1
completely        1
concert           2
concluded         2
conclusion        2
condemn           1
conduct           1
confused          4
confusing         3
confusion         5
conger-eel        1
conqueror         2
conquest          1
consented         1
consider          4
considered        3
considering       3
constant          2
consultation      1
contempt          1
contemptuous      1
contemptuously    2
content           1
continued         9
contradicted      1
conversation      10
conversations     1
cook              13
cool              2
corner            4
corners           1
cost              1
could             77
couldn't          9
counting          1
country           1
couple            1
couples           1
courage           3
course            25
court             18
courtiers         2
coward            1
crab              3
crash             3
crashed           1
crawled           1
crawling          1
crazy             1
creature          4
creatures         10
creep             1
crept             1
cried             20
cries             1
crimson           2
crocodile         1
croquet           6
croquet-ground    3
croqueted         1
croqueting        1
cross             1
cross-examine     2
crossed           3
crossly           1
crouched          1
crowd             4
crowded           5
crown             3
crumbs            4
cry               3
crying            2
cucumber-frame    1
cucumber-frames   1
cunning           1
cup               2
cupboards         2
cur               1
curiosity         5
curious           19
curiouser         2
curled            2
curls             1
curly             1
currants          1
curtain           1
curtsey           1
curtseying        1
curving           1
cushion           2
custard           1
custody           2
cut               5
cutting           1
d                 1
dainties          1
daisies           1
daisy-chain       1
dance             13
dancing           2
dare              5
daresay           1
dark              3
darkness          1
dates             1
daughter          1
day               25
day-school        1
days              4
dead              4
deal              12
dear              29
dears             3
death             1
decided           3
decidedly         4
declare           2
declared          1
deep              7
deepest           1
deeply            4
delay             1
delight           3
delighted         2
delightful        2
denial            1
denied            2
denies            1
deny              2
denying           1
depends           1
derision          1
deserved          1
despair           1
desperate         1
desperately       1
diamonds          1
did               63
didn't            14
die               1
died              1
different         9
difficult         2
difficulties      1
difficulty        4
dig               1
digging           4
diligently        1
dinah             11
dinah'll          2
dinah's           1
dinn              2
dinner            2
dipped            2
directed          2
direction         5
directions        3
directly          2
disagree          1
disappeared       2
disappointment    1
disgust           1
dish              4
dishes            2
dismay            1
disobey           1
dispute           2
distance          8
distant           2
distraction       1
dive              1
do                81
dodged            1
dodo              13
does              9
doesn't           16
dog               2
dog's             1
dogs              3
doing             5
don't             61
done              15
door              30
doors             2
doorway           1
dormouse          39
dormouse's        1
doth              3
double            1
doubled-up        1
doubling          1
doubt             4
doubtful          2
doubtfully        2
down              102
downward          1
downwards         1
doze              1
dozing            1
draggled          1
draw              7
drawing           1
drawling          2
drawling-master   1
dreadful          2
dreadfully        6
dream             7
dreamed           1
dreaming          1
dreamy            1
dressed           1
drew              5
dried             1
driest            1
drink             7
drinking          1
dripping          1
drive             2
drop              1
dropped           5
dropping          1
drowned           1
drunk             2
dry               8
duchess           39
duchess's         3
duck              4
dull              3
dunce             1
e                 6
each              8
eager             3
eagerly           8
eaglet            3
ear               6
earls             2
earnestly         2
ears              5
earth             4
easily            3
easy              2
eat               18
eaten             1
eating            1
eats              1
edgar             1
edge              3
edition           1
editions          2
educations        1
edwin             2
eel               1
eels              1
effect            3
egg               1
eggs              5
eh                1
either            10
elbow             3
elbows            1
elegant           1
eleventh          1
else              11
else's            1
elsie             1
em                3
emphasis          1
empty             1
encourage         1
encouraged        1
encouraging       2
end               18
ending            1
energetic         1
engaged           1
england           1
english           6
engraved          1
enjoy             1
enormous          1
enough            18
entangled         2
entirely          2
entrance          1
escape            4
esq               1
est               1
even              19
evening           5
ever              21
every             12
everybody         8
everything        12
everything's      2
evidence          7
evidently         1
exact             1
exactly           8
examining         1
excellent         2
except            4
exclaimed         6
exclamation       1
execute           1
executed          6
executes          1
execution         3
executioner       5
executioner's     1
executions        2
existence         1
expected          1
expecting         3
experiment        2
explain           10
explained         1
explanation       2
explanations      1
expressing        1
expression        1
extra             1
extraordinary     2
extras            1
extremely         2
eye               7
eyelids           1
eyes              29
face              15
faces             5
fact              8
fading            1
failure           1
faint             1
fainting          1
faintly           1
fair              1
fairly            1
fairy-tales       1
fall              7
fallen            4
falling           2
familiarly        1
family            1
fan               10
fancied           2
fancy             7
fancying          1
fanned            1
fanning           1
far               13
farm-yard         1
farmer            1
farther           1
fashion           2
fast              4
faster            3
